==============================================================================
  Model 6 (J1+head256): ≤2M 严格预算 | 光计算 QAT | phase=clean
  链路: v5 干净 → v8 漂移鲁棒 → 容器 osim 验证 → 真机验证
  日志: runs/m6_j1_clean\metrics.jsonl
==============================================================================
params=50,330 | MACs=1,377,536 (1.38M)
[prepare_model_v5] HW-aligned QAT: w8/a8/o12, out_noise=True(r=0.0392), out_quant=True, act=osim, 8 QAT layers

[训练] 160 ep | lr=0.05 warmup=5 | SGD+momentum | batch=64 workers=0
------------------------------------------------------------------------------
  Epoch | Train loss/acc        | Val loss/acc         | Best     | LR      | Time
------------------------------------------------------------------------------
C:\Users\lhh\AppData\Local\Programs\Python\Python39\lib\site-packages\torch\utils\data\dataloader.py:666: UserWarning: 'pin_memory' argument is set as true but no accelerator is found, then device pinned memory won't be used.
  warnings.warn(warn_msg)
     62 | 0.5178  91.18%        | 1.0154  74.43%         |  90.07% | 0.03524 |    58s
     63 | 0.5139  91.06%        | 0.7816  75.48%         |  90.07% | 0.03478 |    57s
     64 | 0.5259  90.70%        | 0.9951  72.61%         |  90.07% | 0.03431 |    59s
     65 | 0.5116  91.28%        | 0.3160  90.33%         |  90.33% | 0.03385 |    56s
     66 | 0.5076  91.69%        | 0.9418  74.56%         |  90.33% | 0.03337 |    55s
     67 | 0.5049  91.54%        | 0.8643  74.74%         |  90.33% | 0.03290 |    57s
     68 | 0.5113  91.34%        | 5.7320  30.35%         |  90.33% | 0.03242 |    59s
     69 | 0.5100  91.16%        | 1.5025  63.78%         |  90.33% | 0.03194 |    57s
     70 | 0.5070  91.72%        | 0.3630  89.02%         |  90.33% | 0.03145 |    58s
     71 | 0.4957  91.78%        | 0.3277  90.43%         |  90.43% | 0.03097 |    61s
     72 | 0.4971  91.85%        | 0.8838  77.24%         |  90.43% | 0.03048 |    58s
     73 | 0.4957  91.99%        | 3.2792  48.63%         |  90.43% | 0.02999 |    43s
     74 | 0.5064  91.48%        | 0.8726  74.39%         |  90.43% | 0.02949 |    43s
     75 | 0.4980  91.88%        | 0.4190  86.15%         |  90.43% | 0.02900 |    44s
     76 | 0.4942  91.87%        | 0.3238  89.89%         |  90.43% | 0.02850 |    43s
     77 | 0.4872  92.34%        | 0.5070  83.39%         |  90.43% | 0.02800 |    42s
     78 | 0.4953  92.07%        | 0.6075  79.81%         |  90.43% | 0.02750 |    47s
     79 | 0.4866  92.53%        | 1.2233  71.70%         |  90.43% | 0.02700 |    48s
     80 | 0.4888  92.22%        | 0.4085  87.52%         |  90.43% | 0.02650 |    47s
     81 | 0.4848  92.36%        | 0.4554  84.94%         |  90.43% | 0.02600 |    47s
     82 | 0.4824  92.64%        | 0.7831  77.72%         |  90.43% | 0.02550 |    47s
     83 | 0.4820  92.59%        | 3.1524  50.00%         |  90.43% | 0.02500 |    47s
     84 | 0.4823  92.55%        | 0.3388  89.30%         |  90.43% | 0.02450 |    48s
     85 | 0.4742  93.02%        | 0.6781  81.94%         |  90.43% | 0.02400 |    47s
     86 | 0.4743  93.03%        | 1.1809  71.26%         |  90.43% | 0.02350 |    48s
     87 | 0.4836  92.30%        | 0.9448  76.61%         |  90.43% | 0.02300 |    47s
     88 | 0.4791  92.62%        | 0.3414  88.81%         |  90.43% | 0.02250 |    47s
     89 | 0.4784  92.91%        | 1.0544  73.02%         |  90.43% | 0.02200 |    48s
     90 | 0.4837  92.53%        | 0.4846  85.35%         |  90.43% | 0.02150 |    48s
     91 | 0.4711  92.90%        | 0.2647  91.56%         |  91.56% | 0.02101 |    47s
     92 | 0.4701  92.96%        | 0.5236  84.43%         |  91.56% | 0.02051 |    49s
     93 | 0.4661  93.22%        | 0.5369  84.28%         |  91.56% | 0.02002 |    48s
     94 | 0.4609  93.43%        | 1.0669  71.33%         |  91.56% | 0.01953 |    46s
     95 | 0.4680  93.04%        | 1.3604  69.39%         |  91.56% | 0.01905 |    48s
     96 | 0.4677  93.22%        | 0.2405  92.76%         |  92.76% | 0.01856 |    48s
     97 | 0.4562  93.58%        | 0.2895  91.19%         |  92.76% | 0.01808 |    47s
     98 | 0.4622  93.35%        | 0.3587  87.94%         |  92.76% | 0.01760 |    47s
     99 | 0.4563  93.72%        | 0.9672  72.43%         |  92.76% | 0.01713 |    47s
    100 | 0.4600  93.57%        | 0.7174  79.80%         |  92.76% | 0.01665 |    48s
    101 | 0.4582  93.46%        | 0.8045  76.00%         |  92.76% | 0.01619 |    48s
    102 | 0.4620  93.47%        | 0.9685  72.50%         |  92.76% | 0.01572 |    47s
    103 | 0.4585  93.30%        | 1.4558  67.89%         |  92.76% | 0.01526 |    47s
    104 | 0.4607  93.48%        | 1.0915  72.13%         |  92.76% | 0.01480 |    50s
    105 | 0.4495  94.07%        | 0.8023  76.44%         |  92.76% | 0.01435 |    42s
    106 | 0.4518  93.73%        | 0.7743  79.69%         |  92.76% | 0.01390 |    46s
    107 | 0.4465  94.04%        | 0.4754  85.15%         |  92.76% | 0.01346 |    51s
    108 | 0.4435  94.07%        | 0.2425  92.70%         |  92.76% | 0.01302 |    50s
    109 | 0.4430  94.18%        | 0.6556  80.96%         |  92.76% | 0.01259 |    49s
    110 | 0.4423  94.23%        | 0.3377  89.20%         |  92.76% | 0.01216 |    55s
    111 | 0.4427  94.15%        | 0.4885  85.56%         |  92.76% | 0.01174 |    49s
    112 | 0.4387  94.38%        | 0.2862  90.85%         |  92.76% | 0.01132 |    44s
    113 | 0.4318  94.44%        | 1.5937  69.33%         |  92.76% | 0.01091 |    42s
    114 | 0.4423  94.05%        | 0.2625  92.15%         |  92.76% | 0.01050 |    45s
    115 | 0.4375  94.15%        | 0.3620  88.74%         |  92.76% | 0.01010 |    44s
    116 | 0.4346  94.60%        | 0.3611  89.13%         |  92.76% | 0.00971 |    44s
    117 | 0.4329  94.63%        | 0.4766  84.81%         |  92.76% | 0.00932 |    44s
    118 | 0.4257  94.87%        | 0.4663  86.33%         |  92.76% | 0.00894 |    45s
    119 | 0.4236  94.88%        | 0.2296  93.28%         |  93.28% | 0.00857 |    47s
    120 | 0.4231  94.95%        | 0.7558  80.20%         |  93.28% | 0.00820 |    72s
    121 | 0.4257  95.06%        | 0.2216  93.43%         |  93.43% | 0.00784 |    74s
    122 | 0.4161  95.30%        | 0.1939  94.30%         |  94.30% | 0.00749 |    61s
    123 | 0.4142  95.44%        | 0.2803  91.24%         |  94.30% | 0.00714 |    45s
    124 | 0.4168  95.28%        | 0.4908  85.65%         |  94.30% | 0.00680 |    48s
    125 | 0.4194  95.14%        | 0.2430  92.48%         |  94.30% | 0.00647 |    49s
    126 | 0.4098  95.80%        | 0.4094  88.11%         |  94.30% | 0.00615 |    48s
    127 | 0.4164  95.31%        | 0.3810  88.80%         |  94.30% | 0.00583 |    44s
    128 | 0.4146  95.50%        | 0.7851  78.17%         |  94.30% | 0.00553 |    44s
    129 | 0.4088  95.69%        | 0.5825  84.74%         |  94.30% | 0.00523 |    46s
    130 | 0.4091  95.57%        | 0.2235  93.35%         |  94.30% | 0.00494 |    47s
    131 | 0.4063  95.64%        | 0.3614  88.43%         |  94.30% | 0.00465 |    46s
    132 | 0.4040  95.68%        | 1.2737  71.72%         |  94.30% | 0.00438 |    42s
    133 | 0.4032  95.88%        | 0.5699  82.81%         |  94.30% | 0.00411 |    39s
    134 | 0.4106  95.59%        | 0.3281  89.26%         |  94.30% | 0.00386 |    43s
    135 | 0.4007  96.09%        | 0.5529  84.98%         |  94.30% | 0.00361 |    43s
    136 | 0.4020  95.82%        | 0.2227  93.33%         |  94.30% | 0.00337 |    44s
    137 | 0.3937  96.25%        | 0.1813  95.20%         |  95.20% | 0.00314 |    48s
    138 | 0.3918  96.42%        | 0.1697  95.41%         |  95.41% | 0.00292 |    50s
    139 | 0.3930  96.28%        | 0.1664  95.43%         |  95.43% | 0.00271 |    43s
    140 | 0.3886  96.57%        | 0.1882  94.78%         |  95.43% | 0.00251 |    46s
    141 | 0.3890  96.44%        | 0.2515  92.43%         |  95.43% | 0.00231 |    48s
    142 | 0.3891  96.28%        | 0.2156  93.69%         |  95.43% | 0.00213 |    48s
    143 | 0.3865  96.60%        | 0.1828  95.04%         |  95.43% | 0.00195 |    48s
    144 | 0.3892  96.49%        | 0.2291  93.00%         |  95.43% | 0.00179 |    45s
    145 | 0.3865  96.38%        | 0.4356  88.20%         |  95.43% | 0.00164 |    41s
    146 | 0.3826  96.83%        | 0.1681  95.41%         |  95.43% | 0.00149 |    46s
    147 | 0.3834  96.83%        | 0.2000  94.33%         |  95.43% | 0.00135 |    55s
    148 | 0.3838  96.74%        | 0.1666  95.43%         |  95.43% | 0.00123 |    51s
    149 | 0.3809  96.72%        | 0.1667  95.72%         |  95.72% | 0.00111 |    49s
    150 | 0.3828  96.64%        | 0.1864  94.63%         |  95.72% | 0.00101 |    46s
    151 | 0.3779  96.98%        | 0.1801  95.11%         |  95.72% | 0.00091 |    41s
    152 | 0.3809  96.87%        | 0.1626  95.63%         |  95.72% | 0.00082 |    39s
    153 | 0.3774  97.07%        | 0.1612  95.65%         |  95.72% | 0.00075 |    39s
    154 | 0.3767  96.99%        | 0.1665  95.52%         |  95.72% | 0.00068 |    42s
    155 | 0.3758  97.06%        | 0.1681  95.50%         |  95.72% | 0.00063 |    39s
    156 | 0.3752  97.15%        | 0.3064  90.48%         |  95.72% | 0.00058 |    39s
    157 | 0.3778  96.84%        | 0.1629  95.52%         |  95.72% | 0.00055 |    43s
    158 | 0.3735  97.25%        | 0.1763  95.09%         |  95.72% | 0.00052 |    38s
    159 | 0.3771  97.02%        | 0.1620  95.44%         |  95.72% | 0.00051 |    38s
    160 | 0.3760  97.12%        | 0.1654  95.50%         |  95.72% | 0.00050 |    39s

[最终评估]
  test acc   = 95.65% (n=5400)
  macro_f1   = 0.9550
  ece        = 0.0436
  per-class  = 95.0% 98.0% 94.4% 93.1% 96.3% 95.3% 91.6% 98.8% 93.6% 98.8%
  已保存: weights/m6_j1_clean.pth
