==============================================================================
  Model 5 (J1-RF+): stem k5 + stage2 3×3 | 光计算 QAT | phase=clean
  链路: v5 干净 → v8 漂移鲁棒 → 容器 osim 验证 → 真机验证
  日志: runs/m5_j1rf_stem5_clean\metrics.jsonl
==============================================================================
params=100,250 | MACs=5,309,696 (5.31M)
[prepare_model_v5] HW-aligned QAT: w8/a8/o12, out_noise=True(r=0.0392), out_quant=True, act=osim, 8 QAT layers

[训练] 160 ep | lr=0.05 warmup=5 | SGD+momentum | batch=64 workers=0
------------------------------------------------------------------------------
  Epoch | Train loss/acc        | Val loss/acc         | Best     | LR      | Time
------------------------------------------------------------------------------
C:\Users\lhh\AppData\Local\Programs\Python\Python39\lib\site-packages\torch\utils\data\dataloader.py:666: UserWarning: 'pin_memory' argument is set as true but no accelerator is found, then device pinned memory won't be used.
  warnings.warn(warn_msg)
     62 | 0.4598  93.54%        | 1.9558  60.50%         |  90.61% | 0.03524 |    60s
     63 | 0.4642  93.27%        | 0.5239  82.69%         |  90.61% | 0.03478 |    61s
     64 | 0.4534  93.54%        | 0.8230  79.04%         |  90.61% | 0.03431 |    61s
     65 | 0.4548  93.60%        | 1.6313  56.80%         |  90.61% | 0.03385 |    60s
     66 | 0.5146  91.40%        | 0.3920  87.81%         |  90.61% | 0.03337 |    62s
     67 | 0.4561  93.63%        | 0.4918  84.07%         |  90.61% | 0.03290 |    61s
     68 | 0.4586  93.49%        | 0.8290  78.37%         |  90.61% | 0.03242 |    30s
     69 | 0.4519  93.80%        | 0.4003  86.76%         |  90.61% | 0.03194 |    58s
     70 | 0.4521  93.60%        | 0.3361  88.61%         |  90.61% | 0.03145 |    65s
     71 | 0.4505  93.52%        | 1.0829  78.43%         |  90.61% | 0.03097 |    76s
     72 | 0.4431  94.04%        | 1.3242  75.59%         |  90.61% | 0.03048 |    61s
     73 | 0.4492  93.82%        | 0.7505  78.61%         |  90.61% | 0.02999 |    58s
     74 | 0.4369  94.38%        | 2.6464  37.31%         |  90.61% | 0.02949 |    58s
     75 | 0.4562  93.56%        | 1.4778  65.15%         |  90.61% | 0.02900 |    59s
     76 | 0.4505  93.76%        | 1.9790  47.22%         |  90.61% | 0.02850 |    59s
     77 | 0.4454  94.11%        | 0.5221  82.41%         |  90.61% | 0.02800 |    59s
     78 | 0.4502  93.56%        | 3.3095  48.39%         |  90.61% | 0.02750 |    59s
     79 | 0.4719  92.95%        | 0.8823  75.78%         |  90.61% | 0.02700 |    59s
     80 | 0.4360  94.25%        | 1.9843  67.48%         |  90.61% | 0.02650 |    58s
     81 | 0.4293  94.64%        | 0.6031  80.20%         |  90.61% | 0.02600 |    57s
     82 | 0.4304  94.85%        | 0.8210  74.81%         |  90.61% | 0.02550 |    58s
     83 | 0.4454  94.20%        | 1.3111  73.72%         |  90.61% | 0.02500 |    58s
     84 | 0.4294  94.57%        | 1.2508  70.30%         |  90.61% | 0.02450 |    59s
     85 | 0.4301  94.76%        | 0.6942  81.93%         |  90.61% | 0.02400 |    61s
     86 | 0.4222  95.05%        | 0.8088  79.57%         |  90.61% | 0.02350 |    59s
     87 | 0.4274  94.60%        | 2.1033  61.65%         |  90.61% | 0.02300 |    59s
     88 | 0.4359  94.43%        | 0.5395  84.41%         |  90.61% | 0.02250 |    59s
     89 | 0.4196  95.12%        | 1.1237  76.06%         |  90.61% | 0.02200 |    60s
     90 | 0.4187  94.88%        | 0.7416  80.96%         |  90.61% | 0.02150 |    60s
     91 | 0.4139  95.19%        | 0.7307  81.43%         |  90.61% | 0.02101 |    60s
     92 | 0.4158  95.48%        | 0.7509  78.24%         |  90.61% | 0.02051 |    59s
     93 | 0.4182  95.04%        | 0.2313  93.39%         |  93.39% | 0.02002 |    60s
     94 | 0.4139  95.14%        | 1.2901  72.37%         |  93.39% | 0.01953 |    60s
     95 | 0.4108  95.46%        | 0.2817  91.07%         |  93.39% | 0.01905 |    60s
     96 | 0.4071  95.46%        | 0.6831  80.22%         |  93.39% | 0.01856 |    60s
     97 | 0.4029  95.85%        | 0.2491  92.80%         |  93.39% | 0.01808 |    60s
     98 | 0.4038  95.71%        | 0.3849  88.31%         |  93.39% | 0.01760 |    59s
     99 | 0.4026  95.69%        | 2.6656  63.11%         |  93.39% | 0.01713 |    57s
    100 | 0.4078  95.46%        | 1.7481  64.96%         |  93.39% | 0.01665 |    60s
    101 | 0.4054  95.71%        | 1.1804  76.87%         |  93.39% | 0.01619 |    61s
    102 | 0.3987  95.95%        | 0.3162  90.28%         |  93.39% | 0.01572 |    59s
    103 | 0.3892  96.40%        | 0.4718  85.59%         |  93.39% | 0.01526 |    61s
    104 | 0.3914  96.12%        | 0.1803  95.11%         |  95.11% | 0.01480 |    63s
    105 | 0.3861  96.57%        | 2.2107  72.13%         |  95.11% | 0.01435 |    57s
    106 | 0.3878  96.28%        | 0.3245  89.65%         |  95.11% | 0.01390 |    45s
    107 | 0.3832  96.52%        | 0.4916  86.50%         |  95.11% | 0.01346 |    45s
    108 | 0.3846  96.57%        | 0.2307  93.46%         |  95.11% | 0.01302 |    48s
    109 | 0.3880  96.51%        | 2.1286  69.70%         |  95.11% | 0.01259 |    45s
    110 | 0.3860  96.47%        | 0.8568  78.31%         |  95.11% | 0.01216 |    48s
    111 | 0.3822  96.55%        | 0.6813  79.59%         |  95.11% | 0.01174 |    51s
    112 | 0.3829  96.69%        | 0.9881  72.48%         |  95.11% | 0.01132 |    50s
    113 | 0.3827  96.59%        | 0.2924  91.31%         |  95.11% | 0.01091 |    50s
    114 | 0.3918  96.19%        | 2.0000  69.76%         |  95.11% | 0.01050 |    50s
    115 | 0.3763  97.04%        | 0.8450  79.59%         |  95.11% | 0.01010 |    49s
    116 | 0.3757  96.91%        | 0.9149  79.93%         |  95.11% | 0.00971 |    51s
    117 | 0.3745  96.86%        | 0.2108  93.39%         |  95.11% | 0.00932 |    50s
    118 | 0.3632  97.46%        | 0.2270  93.52%         |  95.11% | 0.00894 |    51s
    119 | 0.3602  97.65%        | 0.1794  95.33%         |  95.33% | 0.00857 |    50s
    120 | 0.3617  97.49%        | 0.6806  85.24%         |  95.33% | 0.00820 |    50s
    121 | 0.3646  97.31%        | 0.1889  94.93%         |  95.33% | 0.00784 |    50s
    122 | 0.3564  97.74%        | 0.1767  95.43%         |  95.43% | 0.00749 |    51s
    123 | 0.3545  97.85%        | 0.1830  95.19%         |  95.43% | 0.00714 |    51s
    124 | 0.3523  97.96%        | 0.2725  92.15%         |  95.43% | 0.00680 |    52s
    125 | 0.3572  97.80%        | 2.5991  66.35%         |  95.43% | 0.00647 |    50s
    126 | 0.3609  97.67%        | 0.1930  94.80%         |  95.43% | 0.00615 |    50s
    127 | 0.3475  98.20%        | 0.2320  93.28%         |  95.43% | 0.00583 |    51s
    128 | 0.3557  97.78%        | 0.2853  91.89%         |  95.43% | 0.00553 |    50s
    129 | 0.3476  97.97%        | 0.1874  94.94%         |  95.43% | 0.00523 |    50s
    130 | 0.3432  98.28%        | 1.0033  80.19%         |  95.43% | 0.00494 |    50s
    131 | 0.3488  98.03%        | 1.1291  73.81%         |  95.43% | 0.00465 |    50s
    132 | 0.3452  98.31%        | 0.1865  94.80%         |  95.43% | 0.00438 |    50s
    133 | 0.3409  98.38%        | 0.1710  95.37%         |  95.43% | 0.00411 |    49s
    134 | 0.3384  98.48%        | 0.1570  96.00%         |  96.00% | 0.00386 |    50s
    135 | 0.3363  98.57%        | 0.1594  95.89%         |  96.00% | 0.00361 |    53s
    136 | 0.3357  98.60%        | 0.5231  85.57%         |  96.00% | 0.00337 |    45s
    137 | 0.3358  98.57%        | 0.1964  94.52%         |  96.00% | 0.00314 |    49s
    138 | 0.3343  98.76%        | 0.5276  85.98%         |  96.00% | 0.00292 |    54s
    139 | 0.3344  98.69%        | 0.5272  88.06%         |  96.00% | 0.00271 |    53s
    140 | 0.3335  98.77%        | 0.1617  95.85%         |  96.00% | 0.00251 |    54s
    141 | 0.3300  98.82%        | 0.2853  91.19%         |  96.00% | 0.00231 |    56s
    142 | 0.3316  98.77%        | 0.1592  96.04%         |  96.04% | 0.00213 |    48s
    143 | 0.3308  98.85%        | 0.1986  94.24%         |  96.04% | 0.00195 |    45s
    144 | 0.3249  99.04%        | 0.1577  96.11%         |  96.11% | 0.00179 |    46s
    145 | 0.3275  98.93%        | 0.1471  96.52%         |  96.52% | 0.00164 |    48s
    146 | 0.3250  99.03%        | 0.5005  88.44%         |  96.52% | 0.00149 |    45s
    147 | 0.3252  99.10%        | 0.9223  82.83%         |  96.52% | 0.00135 |    46s
    148 | 0.3259  99.00%        | 0.1485  96.33%         |  96.52% | 0.00123 |    47s
    149 | 0.3220  99.25%        | 0.1760  95.87%         |  96.52% | 0.00111 |    46s
    150 | 0.3237  99.14%        | 0.1437  96.59%         |  96.59% | 0.00101 |    69s
    151 | 0.3239  99.12%        | 0.1425  96.74%         |  96.74% | 0.00091 |    79s
    152 | 0.3208  99.23%        | 0.1486  96.67%         |  96.74% | 0.00082 |    65s
    153 | 0.3229  99.12%        | 0.1439  96.72%         |  96.74% | 0.00075 |    49s
    154 | 0.3210  99.19%        | 0.1488  96.61%         |  96.74% | 0.00068 |    50s
    155 | 0.3195  99.29%        | 0.1443  96.65%         |  96.74% | 0.00063 |    52s
    156 | 0.3204  99.27%        | 0.1694  95.74%         |  96.74% | 0.00058 |    51s
    157 | 0.3211  99.24%        | 0.1426  96.65%         |  96.74% | 0.00055 |    46s
    158 | 0.3201  99.27%        | 0.1420  96.81%         |  96.81% | 0.00052 |    46s
    159 | 0.3189  99.28%        | 0.1393  96.89%         |  96.89% | 0.00051 |    47s
    160 | 0.3205  99.24%        | 0.1426  96.81%         |  96.89% | 0.00050 |    51s

[最终评估]
  test acc   = 96.81% (n=5400)
  macro_f1   = 0.9672
  ece        = 0.0414
  per-class  = 95.5% 98.5% 95.9% 97.0% 97.3% 95.1% 93.9% 98.8% 95.9% 99.3%
  已保存: weights/m5_j1rf_stem5_clean.pth
